Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4UJih0aZ8YcQm4CIErba45,"Jeene Ke Hain Chaar Din","Mujhse Shaadi Karogi","Sonu Nigam;Sunidhi Chauhan",2004-05-31,321320,60,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop","T-Series",0.798,0.766,11,-7.154,0,0.131,0.224,0,0.0916,0.768,135.008,4
spotify:track:6E6UhpF6vV6Cu1VFbrlVM2,"Mujhse Shaadi Karogi","Mujhse Shaadi Karogi","Sonu Nigam;Udit Narayan;Sunidhi Chauhan",2004-05-31,326226,62,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop","T-Series",0.766,0.942,5,-6.757,1,0.0439,0.0348,0.000202,0.0973,0.797,127.033,4
spotify:track:7fl15uWBpbKrzrmEm48ZyP,"O O Jaane Jaana","Pyaar Kiya To Darna Kya","Kamaal Khan",1998-03-10,345240,72,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood","T-Series",0.781,0.766,7,-8.728,1,0.0564,0.122,0.000104,0.121,0.798,106.193,4
spotify:track:75SwvdhOdYQ9FAVfzBcpsF,"Jimpak Chipak","Jimpak Chipak","MC Mike;MC Uneek;Om Sripathi",2017-11-17,187941,45,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop","Horus Music India",0.698,0.752,9,-5.373,1,0.263,0.253,0.00000116,0.153,0.776,150.005,4
spotify:track:2hQUtWk4uVnzdcVUHfkZQ1,"Dont Stop","Nannaku Prematho","Raghu Dixit",2015-12-28,233717,51,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"kannada pop,sandalwood","Times Music",0.833,0.952,7,-3.873,1,0.0671,0.224,0.00184,0.172,0.674,104.945,4
spotify:track:1sDp7vLWGqX1MT3iyj5Usz,"Bharat Ane Nenu (The Song Of Bharat)","Bharat Ane Nenu","David Simon;Devi Sri Prasad;Ramajogayya Sastry",2018-04-07,324917,0,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood,tamil dance","Lahari Music",0.715,0.633,9,-7.373,0,0.0276,0.498,0.0275,0.136,0.578,119.997,4
spotify:track:6G6eTjYaJAM260NQuMEPl3,"Jiya Re (From ""Jab Tak Hai Jaan"")","Top Hits of Anushka Sharma","A.R. Rahman;Neeti Mohan;Safia Ashraf;Gulzar",2024-04-30,319216,36,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,ghazal","YRF Music",0.707,0.721,11,-8.461,0,0.0468,0.0525,0.0000143,0.126,0.609,106.026,4
spotify:track:7HuLB7m448hiKT7Af60Ew3,"Nachde Ne Saare","Baar Baar Dekho (Original Motion Picture Soundtrack)","Jasleen Royal;Harshdeep Kaur;Siddharth Mahadevan;Aditya Sharma",2016-08-04,194761,64,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"hindi pop,bollywood,desi,gujarati pop,hindi indie","Zee Music Company",0.82,0.908,7,-4.517,1,0.0607,0.655,0.0000493,0.0816,0.831,126.062,4
spotify:track:677u765cOcec5Z6peF4lT2,"Luckkanna Mate Nillu","Raghuvaran B Tech","L. V. Revanth",2014-12-23,210195,6,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop","Aditya Music",0.456,0.793,8,-7.851,1,0.195,0.382,0,0.0598,0.732,172.109,3
spotify:track:5xMuyf3l0pQKqpKA5dy3yW,"I Wanna Fly","Revanth Telugu Hits","L. V. Revanth;Sanjith Hegde;Hiphop Tamizha",2018-03-13,238538,0,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop,kannada pop,sandalwood,tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Lahari Music",0.648,0.911,4,-2.93,0,0.0486,0.106,0,0.176,0.526,91.983,4
spotify:track:0CdgYYq6fYOcg8RPUZl716,"Gunde Jaari Gallanthayinde","Gunde Jaari Gallanthayinde (Original Motion Picture Soundtrack)","Anup Rubens;Sravani",2013-04-19,244506,0,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop","MRT Music",0.828,0.779,10,-8.054,0,0.143,0.53,0.00035,0.186,0.671,91.031,4
spotify:track:0XF0D8HL9gk2sr9tlFOee3,"Dil Mere","Aalas Ka Pedh","The Local Train",2015-09-25,211290,61,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"indian indie,hindi indie","The Local Train",0.655,0.473,8,-9.806,1,0.0267,0.842,0.032,0.167,0.572,92.964,4
spotify:track:1rJmySqUrHQP0O4l1JX8E9,"Rooba Rooba","Orange","Shahil Hada;Chinmayi",2010-10-25,314373,11,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"tollywood,telugu pop,tamil pop,marathi pop,kollywood,bollywood","Aditya Music",0.843,0.611,10,-8.864,0,0.0497,0.121,0.00654,0.334,0.698,103.985,4
spotify:track:3WqQkDTab7sYjRX9Uf7mqr,"Hello Rammante","Orange","Vijay Prakash;Devan Ekambaram;D.Burn",2010-10-25,281965,11,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood","Aditya Music",0.857,0.688,7,-6.709,1,0.0531,0.0991,0.000053,0.101,0.789,113.992,4
spotify:track:7DbE178OOsJfJKyiNObOsw,"Kukkad","Student of the Year (Original Motion Picture Soundtrack)","Vishal-Shekhar;Shahid Mallya;Nisha Mascarenhas;Marianne D'Cruz Aiman",2012-08-31,262866,66,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.719,0.835,9,-7.391,1,0.0426,0.0902,0.00431,0.331,0.961,139.985,4
